"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,65+,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,35-44,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,unknown,45-54,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,1,5,5,Incremental,"Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,45-54,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,65+,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"4 Print Static",120247312792420327,2026-06-26,male,55-64,"Just moved in and have no idea what to put up? 🤔 3,000 cities at your fingertips. Framed prints shipped fast.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"4 Print Static",120247312792420327,2026-06-26,female,55-64,"Blank walls got you down? 3,000 locations to choose from. Get a city print that makes their new place feel like home.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,45-54,"- Made to order prints
- Real matte paper & frames
Gallery-quality standard for every piece.
Because some places are too special for posters.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,25-34,"- Made to order prints
- Real matte paper & frames
Gallery-quality standard for every piece.
Because some places are too special for posters.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,55-64,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
