"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Amount spent (USD)",Reach,Impressions,Starts,Ends,"Attribution setting",Frequency,"Result type",Results,"CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)","Result rate",Views,"Clicks (all)","CPC (all)","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per post engagement",ThruPlays,"Video plays","3-second video plays","Unique 2-second continuous video plays","Link clicks","Cost per ThruPlay","Cost per 3-second video play","Cost per 2-second continuous video play","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Instagram profile visits","Cost per app activation","App installs","Cost per app install","App activations conversion value","App activations","Purchase ROAS (return on ad spend)","Ratings submitted","Mobile app installs","In-app sessions conversion value","In-app sessions","In-app purchases","In-app registrations completed","In-app trials started","In-app subscriptions conversion value","Purchases rate per landing page views","Purchases rate per link clicks","Landing page views rate per link clicks","Results rate per link clicks","Unique outbound clicks","Outbound clicks","Unique outbound CTR (click-through rate)","Unique clicks (all)","Cost per unique click (all)","Cost per unique outbound click","Cost per outbound click","Cost per unique link click","Reporting starts","Reporting ends"
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,unknown,25-34,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.02,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,65+,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.05,2,4,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",2,onb_initiate_checkout,,,0,12.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,18-24,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.02,2,2,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,0.02,50,10,,,1,0.02,,,,,,,0.01,,,,,1,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,35-44,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",1.42,10,11,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.1,onb_initiate_checkout,,1.42,18.18181818,129.09090909,,,2,0.71,,,,,,,0.71,,,,,1,,,,9.09090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,45-54,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.83,6,6,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,138.33333333,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,55-64,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.04,2,2,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,45-54,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.35,4,4,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,87.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,55-64,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.04,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,40,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,45-54,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.01,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,65+,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
