"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,"Impression device","Device platform","Conversion device",Platform,Placement,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Video ID","Image name","Video name","Website URL",call_to_action_type,headline,Description,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Result rate",Views,"Clicks (all)","CPC (all)","Purchases rate per link clicks","Landing page views rate per link clicks","Result value type","Results value","Result value type","Results ROAS","Cost per 1,000 Meta Accounts reached","Ad Delivery","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Page engagement","Facebook likes","Instagram follows","Post comments","Post engagements","Post reactions","Post saves","Post shares",ThruPlays,"Video plays","3-second video plays","Unique link clicks","Outbound clicks","Unique outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique clicks (all)","Unique CTR (all)","Instagram profile visits","Cost per outbound click","Cost per unique link click","Cost per unique outbound click","Adds of payment info","Adds to cart","Cost per add to cart","Adds to cart conversion value","Checkouts initiated","Cost per checkout initiated","Checkouts initiated conversion value",Purchases,"Cost per purchase","Purchase ROAS (return on ad spend)","Purchases conversion value","Cost per result","Cost per post engagement","Cost per Page engagement","Cost per like","Cost per 3-second video play","Cost per ThruPlay","Results rate per link clicks","Purchases rate per landing page views","CTR (link click-through rate)","Ad recall lift rate","Cost per unique click (all)","Average purchases conversion value","Website subscriptions conversion value","Cost per add of payment info",Viewers,"Ad set delivery","Campaign Delivery","Cost per ad recall lift","Ad recall lift","Reporting starts","Reporting ends"
ECAS_MST,120248368491680327,C1,120248368491700327,C1C,120248368491690327,2026-07-20,iphone,mobile_app,iphone,instagram,"Instagram Stories",inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C1C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,ipad,mobile_app,ipad,facebook,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",2,,,,,,,,,,,,,,,active,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,iphone,mobile_app,iphone,facebook,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",5,,,,,,,,,,,,,,,active,,,,,,,6,,,,6,,,1,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,android_smartphone,mobile_app,android_smartphone,instagram,"Instagram Stories",active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",1,,,,,,,,,,,,,,,active,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,android_smartphone,mobile_app,android_smartphone,instagram,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",2,,,,,,,,,,,,,,,active,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,android_smartphone,mobile_app,android_smartphone,facebook,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",3,,,,,,,,,,,,,,,active,,,,,,,3,,,,3,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,iphone,mobile_app,iphone,instagram,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",2,,,,,,,,,,,,,,,active,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,iphone,mobile_app,iphone,instagram,"Instagram Stories",active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",1,,,,,,,,,,,,,,,active,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,desktop,desktop,desktop,instagram,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",1,,,,,,,,,,,,,,,active,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
ECAS_MST,120248368491680327,C4,120248369515900327,C4C,120248369515860327,2026-07-20,desktop,desktop,desktop,facebook,Feed,active,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,C4C_4x5.png,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,"Made To Order, Framed Right","Made to order. Real wood.",2,,,,,,,,,,,,,,,active,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,active,,,2026-07-20,2026-07-20
