"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Video ID","Image name","Video name","Website URL",call_to_action_type,headline,Description,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Result rate",Views,"Clicks (all)","CPC (all)","Purchases rate per link clicks","Landing page views rate per link clicks","Result value type","Results value","Result value type","Results ROAS","Cost per 1,000 Meta Accounts reached","Ad Delivery","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Page engagement","Facebook likes","Instagram follows","Post comments","Post engagements","Post reactions","Post saves","Post shares",ThruPlays,"Video plays","3-second video plays","Unique link clicks","Outbound clicks","Unique outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique clicks (all)","Unique CTR (all)","Instagram profile visits","Cost per outbound click","Cost per unique link click","Cost per unique outbound click","Cost per unique click (all)","Adds of payment info","Adds to cart","Cost per add to cart","Adds to cart conversion value","Checkouts initiated","Cost per checkout initiated","Checkouts initiated conversion value",Purchases,"Cost per purchase","Purchase ROAS (return on ad spend)","Purchases conversion value","Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,35-44,"Some gifts get forgotten by Monday.

This one gets hung on the wall and talked about for years.

We turn any street in America into a stunning framed print — the block they grew up on, the city that made them who they are.

Find their street. Frame it. Watch their face.",not_delivering,ad,3,3,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.06,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,0.06,20,33.33333333,,,1,0.06,,,"Website purchases conversion value",,"Website purchases conversion value",,20,not_delivering,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,55-64,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,10,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,10,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,45-54,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,5,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,5,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,65+,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,5,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,5,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,45-54,"Their first apartment deserves more than bare walls. 🏠 Ships in days, framed & ready to hang! Choose the place that means something.",not_delivering,ad,3,4,1.33333333,Incremental,"Website purchases",,0.13,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,32.5,50,,,2,0.065,,,"Website purchases conversion value",,"Website purchases conversion value",,43.33333333,not_delivering,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"4 Print Static",120247312792420327,2026-06-26,male,55-64,"Just moved in and have no idea what to put up? 🤔 3,000 cities at your fingertips. Framed prints shipped fast.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,10,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,10,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"4 Print Static",120247312792420327,2026-06-26,female,55-64,"Blank walls got you down? 3,000 locations to choose from. Get a city print that makes their new place feel like home.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,10,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,10,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,25-34,"- Made to order prints
- Real matte paper & frames
Gallery-quality standard for every piece.
Because some places are too special for posters.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,20,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,20,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,35-44,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,20,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,20,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,25-34,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.02,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,10,50,,,1,0.02,,,"Website purchases conversion value",,"Website purchases conversion value",,10,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,35-44,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.04,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,20,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,20,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,45-54,"We refuse to sell cheap art. 
Every print is made to order on real matte paper, with a real frame - the kind of quality you'd find in a gallery.
The street your mom grew up on deserves better than a poster.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,0,0,,,0,,,,"Website purchases conversion value",,,,0,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,35-44,"We refuse to sell cheap art.
Every print is made to order. Real matte paper. Real frames. The kind of quality you'd find in a gallery — not a gift shop.
Because the street your mom grew up on deserves better than a poster.
That's the standard we hold ourselves to.

— Joseph, Founder",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,0,0,,,0,,,,"Website purchases conversion value",,,,0,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,45-54,"We refuse to sell cheap art.
Every print is made to order. Real matte paper. Real frames. The kind of quality you'd find in a gallery — not a gift shop.
Because the street your mom grew up on deserves better than a poster.
That's the standard we hold ourselves to.

— Joseph, Founder",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.03,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,,,30,0,,,0,,,,"Website purchases conversion value",,"Website purchases conversion value",,30,not_delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,2026-06-26,male,45-54,"- Made to order prints
- Real matte paper & frames
Gallery-quality standard for every piece.
Because some places are too special for posters.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,0.01,10,100,,,1,0.01,,,"Website purchases conversion value",,"Website purchases conversion value",,10,not_delivering,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,2026-06-26
